# epoch,phone_train_mse,phone_train_pcc,phone_test_mse,phone_test_pcc,learning rate,utt_train_mse_accuracy,utt_train_mse_completeness,utt_train_mse_fluency,utt_train_mse_prosodic,utt_train_mse_total,utt_train_pcc_accuracy,utt_train_pcc_completeness,utt_train_pcc_fluency,utt_train_pcc_prosodic,utt_train_pcc_total,utt_test_mse_accuracy,utt_test_mse_completeness,utt_test_mse_fluency,utt_test_mse_prosodic,utt_test_mse_total,utt_test_pcc_accuracy,utt_test_pcc_completeness,utt_test_pcc_fluency,utt_test_pcc_prosodic,utt_test_pcc_total,word_train_pcc_accuracy,word_train_pcc_stress,word_train_pcc_total,word_test_pcc_accuracy,word_test_pcc_stress,word_test_pcc_total
0.000000000000000000e+00,1.610678881406784058e-01,2.912526649664144429e-01,1.275639533996582031e-01,2.706987102989166782e-01,9.499999999999999981e-04,1.124114245176315308e-01,2.080165082588791847e-03,1.194893345236778259e-01,9.043388813734054565e-02,1.212538853287696838e-01,1.687475163818280555e-01,1.590524383748703882e-03,-3.266771746740870785e-01,2.405479797997953917e-01,-1.566220282923445617e-01,9.455873072147369385e-02,1.228508166968822479e-02,9.750457853078842163e-02,8.267213404178619385e-02,1.021452546119689941e-01,1.036433712142523222e-01,-2.783599353094957929e-02,-2.324411252822637663e-01,1.212499729676711768e-01,-7.656164219216601841e-02,-8.940100384976088421e-04,-8.158291561878333598e-02,2.874086281101022045e-01,-2.776518801901311020e-02,-3.843844225727498926e-02,2.364311250274760412e-01
1.000000000000000000e+00,1.483929753303527832e-01,3.937352950316356792e-01,1.183170303702354431e-01,3.598458031014567515e-01,1.000000000000000021e-03,1.197935789823532104e-01,2.855177968740463257e-03,9.455819427967071533e-02,8.306934684514999390e-02,1.086127907037734985e-01,2.126125536535521665e-01,-2.609356287834381158e-02,3.427236616889722809e-01,3.433648674407682178e-01,3.210304324440216850e-01,1.002650186419487000e-01,1.314680464565753937e-02,7.929977029561996460e-02,7.851908355951309204e-02,9.402737021446228027e-02,1.444120175473697365e-01,-5.375648472704244035e-02,2.394962534226062756e-01,2.228291857485542315e-01,2.224392505199021819e-01,3.494453637985469041e-01,-1.179927798045283388e-01,3.744065272190735816e-01,2.924098663846280699e-01,-9.374246292748281140e-02,3.168484559161300340e-01
2.000000000000000000e+00,1.354168355464935303e-01,4.776778695628725036e-01,1.098136305809020996e-01,4.423580578182852996e-01,1.000000000000000021e-03,8.954166620969772339e-02,6.712276488542556763e-03,6.974972784519195557e-02,6.645566225051879883e-02,7.635887712240219116e-02,5.145288479095376788e-01,3.065447715188850857e-04,6.659186607711229389e-01,5.989022050709489342e-01,6.124649723439063997e-01,7.770586013793945312e-02,1.482359878718852997e-02,6.432358175516128540e-02,6.904876977205276489e-02,7.104729115962982178e-02,4.516259124491803778e-01,1.213458825727007223e-01,6.080946210482418568e-01,5.210513537814257523e-01,5.483425431326353072e-01,4.870948457863399361e-01,-6.120119440356679846e-02,4.652694217712384783e-01,4.358365637885723842e-01,-6.503739150835884109e-02,4.111492614610408602e-01
3.000000000000000000e+00,1.190536320209503174e-01,5.705531764412008489e-01,9.738882631063461304e-02,5.352777799254954116e-01,1.000000000000000021e-03,5.262575671076774597e-02,6.631318479776382446e-03,4.270645603537559509e-02,3.933178633451461792e-02,4.654482379555702209e-02,7.439648056675556287e-01,4.959582576358349815e-02,7.625405299073459986e-01,7.525630418369327890e-01,7.636169817666896842e-01,5.126746743917465210e-02,1.189855579286813736e-02,4.239312559366226196e-02,3.903482109308242798e-02,4.685308411717414856e-02,6.917638074355422217e-01,3.003043928550449548e-01,7.269990488677114948e-01,7.247243442793230850e-01,7.194853684328033072e-01,5.504671504019794659e-01,1.029759198042574098e-01,5.539426931244944008e-01,5.054913191859279342e-01,1.154665838667925937e-01,5.094891257131105577e-01
4.000000000000000000e+00,1.134564429521560669e-01,5.998276003896667596e-01,9.599527716636657715e-02,5.623999032535745846e-01,1.000000000000000021e-03,5.986582115292549133e-02,3.671951359137892723e-03,4.538593813776969910e-02,4.057630524039268494e-02,5.542519688606262207e-02,7.583625765200968649e-01,7.602770575567791012e-02,7.721183426148054973e-01,7.681615178577888559e-01,7.736896224863347715e-01,6.214378774166107178e-02,9.853822179138660431e-03,4.726113006472587585e-02,4.177192226052284241e-02,5.868477746844291687e-02,7.017815869212430391e-01,3.514594145656084745e-01,7.328818370181079400e-01,7.413247498114355905e-01,7.254934016724930990e-01,5.717543797976331055e-01,1.864125157983569925e-01,5.752737676769588138e-01,5.223311809663624405e-01,2.421187092059917945e-01,5.284020856645346154e-01
5.000000000000000000e+00,1.123188212513923645e-01,6.143782502242758348e-01,9.011130779981613159e-02,5.825200830574115418e-01,1.000000000000000021e-03,4.939582943916320801e-02,3.449075389653444290e-03,3.984276577830314636e-02,3.788870200514793396e-02,4.459211602807044983e-02,7.658461553294437785e-01,1.604459076163734094e-02,7.748839712637256572e-01,7.706836842308862900e-01,7.812932064939578369e-01,4.755285009741783142e-02,1.110720075666904449e-02,3.689914569258689880e-02,3.709543496370315552e-02,4.419308528304100037e-02,7.084896236898741151e-01,2.570669592972295026e-01,7.404996049132783753e-01,7.464072621628662363e-01,7.362628641734726420e-01,5.756859301632836212e-01,1.417504384631823044e-01,5.835893842971415779e-01,5.294487554397578899e-01,2.294083194026199646e-01,5.414375205238483035e-01
6.000000000000000000e+00,1.061690896749496460e-01,6.258339547341322806e-01,8.859188854694366455e-02,5.913955327812225882e-01,1.000000000000000021e-03,4.792367294430732727e-02,2.713260939344763756e-03,3.899698331952095032e-02,3.791392222046852112e-02,4.300002381205558777e-02,7.716287950490131609e-01,7.136725562917956012e-02,7.807213470993973337e-01,7.740026733047679075e-01,7.871362076257105711e-01,4.911156743764877319e-02,9.521907195448875427e-03,3.929177671670913696e-02,3.896878659725189209e-02,4.468135908246040344e-02,7.132921075266164257e-01,3.520066689879445265e-01,7.414125552030395028e-01,7.459859179337320345e-01,7.402241913846235866e-01,5.842973186070886671e-01,2.199180485255306794e-01,5.891951768286137758e-01,5.339902422988438424e-01,3.059622156654396297e-01,5.414331618338833474e-01
7.000000000000000000e+00,1.153177693486213684e-01,6.220416291358300542e-01,9.130255132913589478e-02,5.931689783035654084e-01,1.000000000000000021e-03,5.137873440980911255e-02,4.798788577318191528e-03,4.681690037250518799e-02,4.208984225988388062e-02,4.804267361760139465e-02,7.709052006918738487e-01,-5.592366040458037618e-03,7.764636611998992910e-01,7.745373672861767256e-01,7.859695951245844192e-01,4.855309054255485535e-02,1.350637804716825485e-02,4.128544777631759644e-02,4.042403399944305420e-02,4.619871079921722412e-02,7.117288444205029929e-01,2.017335211388405769e-01,7.442376391123326496e-01,7.504663342560975448e-01,7.423118080363402260e-01,5.665003487763619061e-01,1.004955683783454873e-01,5.778194726927343705e-01,5.220635747626714007e-01,2.115022553734473842e-01,5.373996434637121622e-01
8.000000000000000000e+00,1.100191771984100342e-01,6.290956586263783956e-01,8.839678764343261719e-02,5.995802002497275796e-01,1.000000000000000021e-03,5.770662054419517517e-02,4.523443058133125305e-03,4.620124399662017822e-02,4.622592031955718994e-02,5.313394591212272644e-02,7.714263356459857279e-01,-6.839701834710563803e-03,7.766373565593900352e-01,7.755615041191927794e-01,7.860911899771578781e-01,5.425131693482398987e-02,1.243748515844345093e-02,4.101671651005744934e-02,4.421185329556465149e-02,5.041652917861938477e-02,7.112671035666875419e-01,1.940749332209878164e-01,7.435182370828414822e-01,7.503627837247417443e-01,7.427637839757648131e-01,5.756695026687660421e-01,1.352480955983658140e-01,5.833430473880832912e-01,5.305295674429835184e-01,2.341913485183104993e-01,5.408821669765370155e-01
9.000000000000000000e+00,1.181600466370582581e-01,6.244530256855114203e-01,9.335149079561233521e-02,5.942237353699706404e-01,1.000000000000000021e-03,5.037242919206619263e-02,1.576259033754467964e-03,3.998035937547683716e-02,3.711752966046333313e-02,4.422046616673469543e-02,7.767923388858967160e-01,2.126293224376556504e-02,7.787605867101603518e-01,7.771411085435647736e-01,7.916927854808615272e-01,4.858605563640594482e-02,9.998724795877933502e-03,3.720738738775253296e-02,3.687708079814910889e-02,4.381574690341949463e-02,7.131086995264865891e-01,2.450693487685944583e-01,7.421970704370409733e-01,7.508208421483610895e-01,7.441188880413650564e-01,5.735740685835321040e-01,8.674785431288443982e-02,5.815152057460275525e-01,5.257858553826419978e-01,1.981738541085081295e-01,5.368333759005518013e-01
