# epoch,phone_train_mse,phone_train_pcc,phone_test_mse,phone_test_pcc,learning rate,utt_train_mse_accuracy,utt_train_mse_completeness,utt_train_mse_fluency,utt_train_mse_prosodic,utt_train_mse_total,utt_train_pcc_accuracy,utt_train_pcc_completeness,utt_train_pcc_fluency,utt_train_pcc_prosodic,utt_train_pcc_total,utt_test_mse_accuracy,utt_test_mse_completeness,utt_test_mse_fluency,utt_test_mse_prosodic,utt_test_mse_total,utt_test_pcc_accuracy,utt_test_pcc_completeness,utt_test_pcc_fluency,utt_test_pcc_prosodic,utt_test_pcc_total,word_train_pcc_accuracy,word_train_pcc_stress,word_train_pcc_total,word_test_pcc_accuracy,word_test_pcc_stress,word_test_pcc_total
0.000000000000000000e+00,1.590677052736282349e-01,3.347447654273866258e-01,1.190413609147071838e-01,2.845961558367084421e-01,9.499999999999999981e-04,1.151139140129089355e-01,3.605498466640710831e-03,1.038028821349143982e-01,9.382745623588562012e-02,1.150085926055908203e-01,1.490267290334008066e-01,-3.094628186494215866e-02,2.525469848017565244e-01,-4.502953556172434313e-01,1.847582960869874336e-01,9.552365541458129883e-02,5.202962085604667664e-03,7.748426496982574463e-02,7.974024116992950439e-02,9.108184278011322021e-02,6.382441042515300811e-02,1.260066060260066172e-02,2.073989877859822861e-01,-3.342651531656463670e-01,1.526684592789758210e-01,2.417352892680959264e-01,5.929114311678421873e-02,2.212097864898441013e-01,1.979009843290741311e-01,5.375189957660279905e-02,1.745971824123709604e-01
1.000000000000000000e+00,1.149134710431098938e-01,5.880844593240230900e-01,9.140167385339736938e-02,5.502731719386074749e-01,1.000000000000000021e-03,1.088901013135910034e-01,1.349779311567544937e-03,8.979816734790802002e-02,8.512285351753234863e-02,1.043300032615661621e-01,2.550615371439073353e-01,1.175316271938504215e-02,6.516875474054661943e-01,2.554267247515631389e-01,3.141519748676034340e-01,8.962692320346832275e-02,3.061893163248896599e-03,7.028461992740631104e-02,7.737303525209426880e-02,8.698431402444839478e-02,1.643302457459391297e-01,-2.440537170194843203e-02,5.519719343683129331e-01,1.255872313185019962e-01,2.081417523628305288e-01,5.494506393814806433e-01,6.606846297965963954e-02,5.798769446816343098e-01,4.720683414029021030e-01,5.066572392602174818e-02,4.984997624892328894e-01
2.000000000000000000e+00,9.903042018413543701e-02,6.578557693335596035e-01,7.727515697479248047e-02,6.273310696208146409e-01,1.000000000000000021e-03,8.773126453161239624e-02,2.359625184908509254e-03,6.687896698713302612e-02,6.875300407409667969e-02,7.472705096006393433e-02,5.788544410978656574e-01,7.400591794373036214e-02,6.590861803749435976e-01,6.059255868643177445e-01,6.200317565884146953e-01,7.468138635158538818e-02,3.628931706771254539e-03,5.672971531748771667e-02,6.296745687723159790e-02,6.644967943429946899e-02,5.007020165328649464e-01,8.371637584164035029e-02,5.812607658205964922e-01,4.892374617917381041e-01,5.435986460180425306e-01,6.267327513676007600e-01,6.299636411538786507e-02,6.382386073863066667e-01,5.517423197109631028e-01,2.700489187055166856e-02,5.675501432358586174e-01
3.000000000000000000e+00,9.483186155557632446e-02,6.758618330109494865e-01,7.464483380317687988e-02,6.425701561008249074e-01,1.000000000000000021e-03,5.339389666914939880e-02,1.818419434130191803e-03,4.863404482603073120e-02,4.711988940834999084e-02,5.106057599186897278e-02,7.402194333508995694e-01,4.935623610172611836e-02,7.065563552798305169e-01,7.002148869344285709e-01,7.419943855308045455e-01,5.056264251470565796e-02,2.954275812953710556e-03,4.599225148558616638e-02,4.733571410179138184e-02,4.910046979784965515e-02,6.777614018735492740e-01,1.289721477745372491e-01,6.186397587078857896e-01,6.194078779122771383e-01,6.786795321342596887e-01,6.372490190673917310e-01,1.879346173619622362e-01,6.219208123717353542e-01,5.654356883226115960e-01,1.014571591645566789e-01,5.517603139772047083e-01
4.000000000000000000e+00,9.339036792516708374e-02,6.875539969498282167e-01,7.376769930124282837e-02,6.550323228331427217e-01,1.000000000000000021e-03,5.860329419374465942e-02,3.516653086990118027e-03,5.293211713433265686e-02,5.488990992307662964e-02,5.107951536774635315e-02,7.543590399110949862e-01,-1.606757493483014498e-02,7.167917179334817313e-01,7.089599395083182598e-01,7.585268756857339589e-01,5.980029702186584473e-02,4.587868228554725647e-03,5.097751691937446594e-02,5.694448947906494141e-02,5.144188180565834045e-02,6.880448726171981555e-01,4.437192576208244532e-02,6.258814604592856101e-01,6.238202431558019789e-01,6.909680139974782032e-01,6.411081600325616581e-01,1.776697833334266730e-01,6.207305456574083724e-01,5.704789101210605562e-01,9.360506319929180752e-02,5.502766596913649666e-01
5.000000000000000000e+00,9.054687619209289551e-02,6.934887004081312645e-01,7.152216881513595581e-02,6.606962560951805674e-01,1.000000000000000021e-03,4.777143523097038269e-02,2.319188322871923447e-03,4.629823938012123108e-02,4.635810852050781250e-02,4.745700210332870483e-02,7.644248677937598435e-01,1.143320363792268979e-02,7.247272690050108324e-01,7.122558944178861706e-01,7.673840060780630079e-01,4.737174510955810547e-02,3.652633400633931160e-03,4.471306130290031433e-02,4.810715839266777039e-02,4.814916104078292847e-02,6.960181394417158662e-01,6.780305288187593593e-02,6.317747044168317005e-01,6.243939662602079332e-01,6.980631243182621182e-01,6.414838818953585431e-01,1.968604528602989900e-01,6.266369347331666173e-01,5.710233496923252661e-01,1.044218746489049970e-01,5.559130926193802669e-01
6.000000000000000000e+00,9.014467149972915649e-02,6.989734320684471980e-01,7.133112847805023193e-02,6.658748840033429373e-01,1.000000000000000021e-03,4.720502719283103943e-02,2.465359400957822800e-03,4.621815308928489685e-02,4.504280537366867065e-02,4.658701270818710327e-02,7.674279118607922889e-01,4.557650531552712159e-02,7.246414929165262420e-01,7.104551960779492692e-01,7.687556496068592704e-01,4.778893291950225830e-02,3.302022581920027733e-03,4.518097266554832458e-02,4.708206653594970703e-02,4.773933440446853638e-02,6.941595567865197491e-01,1.006304973706499406e-01,6.281905041756830066e-01,6.192214260931221403e-01,6.964577055973556474e-01,6.475406903339266940e-01,2.107280116604195730e-01,6.363082536203259476e-01,5.764728593573920090e-01,1.133337950422399903e-01,5.654123391082318539e-01
7.000000000000000000e+00,8.997330814599990845e-02,7.049046963400764643e-01,7.267922163009643555e-02,6.679234511786212858e-01,1.000000000000000021e-03,4.630590975284576416e-02,2.382230944931507111e-03,4.878438636660575867e-02,4.510544613003730774e-02,4.493347927927970886e-02,7.780725377113263397e-01,6.991992583660343319e-02,7.318710864560650231e-01,7.207033119841180779e-01,7.772659997932236386e-01,4.668528959155082703e-02,3.337388858199119568e-03,4.908231273293495178e-02,4.697833955287933350e-02,4.587457701563835144e-02,7.080815303099980973e-01,1.125519763433697473e-01,6.341215237432941132e-01,6.302653782686327144e-01,7.057601851308616947e-01,6.521528240389683484e-01,2.417562352676643211e-01,6.447198333739749820e-01,5.800192078872411505e-01,1.413396035758460179e-01,5.718667663256862266e-01
8.000000000000000000e+00,8.799873292446136475e-02,7.080207710639503382e-01,7.105749845504760742e-02,6.708212372494688491e-01,1.000000000000000021e-03,4.517665877938270569e-02,1.221293350681662560e-03,4.640701413154602051e-02,4.447765648365020752e-02,4.437743872404098511e-02,7.796286242578673864e-01,6.625640307828249698e-02,7.347768625204835757e-01,7.231164624202809366e-01,7.787838207943497126e-01,4.568219929933547974e-02,2.580078784376382828e-03,4.596268758177757263e-02,4.661987721920013428e-02,4.533258825540542603e-02,7.097930652931886408e-01,9.202191998429491704e-02,6.368083614969041184e-01,6.317245933393889068e-01,7.066056842960737328e-01,6.617237040935473047e-01,2.441436246680796229e-01,6.590534185603705852e-01,5.878202416788432805e-01,1.467720656132773527e-01,5.855403063121389362e-01
9.000000000000000000e+00,8.575179427862167358e-02,7.136311910631881750e-01,6.922748684883117676e-02,6.757698231284159363e-01,1.000000000000000021e-03,4.470510408282279968e-02,1.288426341488957405e-03,4.368217289447784424e-02,4.232565313577651978e-02,4.215550422668457031e-02,7.870468255574837313e-01,4.648557140774069868e-02,7.427463443696995515e-01,7.321257872063270389e-01,7.887700360825171675e-01,4.638116434216499329e-02,2.732619177550077438e-03,4.378776624798774719e-02,4.469450190663337708e-02,4.375642165541648865e-02,7.164437604083405686e-01,7.447384721221238235e-02,6.457956243845839328e-01,6.435168064696830115e-01,7.172123733341561058e-01,6.607721737497040948e-01,2.191086892752737159e-01,6.588914668960769161e-01,5.876939380831028847e-01,1.239595761119905021e-01,5.849672250394370998e-01
